,Area Name,id,Total,Hispanic,White,Black,Asian,Mixed,Others,Population Density: Hispanic,Population Density: White,Population Density: Black,Population Density: Asian,Population Density: Mixed,Population Density: Others
90,"EAST MACON 1, Bibb County, Georgia",7000000US13021000EM1,2963.0,45.0,191.0,2602.0,7.0,99.0,19.0,0.015187310158623017,0.06446169422882214,0.8781640229497131,0.002362470469119136,0.03341208234897064,0.00641241984475194
91,"EAST MACON 2, Bibb County, Georgia",7000000US13021000EM2,5453.0,83.0,400.0,4796.0,19.0,139.0,16.0,0.015220979277461948,0.07335411699981662,0.8795158628278013,0.003484320557491289,0.025490555657436274,0.0029341646799926646
92,"EAST MACON 3, Bibb County, Georgia",7000000US13021000EM3,4879.0,167.0,1522.0,2970.0,27.0,135.0,58.0,0.034228325476532075,0.31194916991186716,0.6087312973970076,0.005533920885427342,0.02766960442713671,0.011887681902029105
93,"EAST MACON 4, Bibb County, Georgia",7000000US13021000EM4,3504.0,82.0,357.0,2957.0,6.0,87.0,15.0,0.023401826484018264,0.10188356164383562,0.843892694063927,0.0017123287671232876,0.02482876712328767,0.004280821917808219
94,"EAST MACON 5, Bibb County, Georgia",7000000US13021000EM5,3443.0,69.0,991.0,2210.0,20.0,138.0,15.0,0.020040662213186174,0.28783038048213766,0.6418820795817601,0.005808887598024978,0.04008132442637235,0.004356665698518733
95,"GODFREY 1, Bibb County, Georgia",7000000US13021000GF1,10934.0,539.0,1865.0,8122.0,114.0,240.0,54.0,0.04929577464788732,0.17056886775196634,0.7428205597219681,0.010426193524785073,0.021949881104810682,0.004938723248582404
96,"GODFREY 2, Bibb County, Georgia",7000000US13021000GF2,3197.0,166.0,439.0,2464.0,4.0,93.0,31.0,0.051923678448545514,0.13731623396934625,0.7707225523928684,0.0012511729746637473,0.029089771660932125,0.009696590553644042
97,"GODFREY 3, Bibb County, Georgia",7000000US13021000GF3,4615.0,144.0,500.0,3802.0,15.0,126.0,28.0,0.031202600216684723,0.10834236186348863,0.8238353196099675,0.0032502708559046588,0.027302275189599132,0.006067172264355363
98,"GODFREY 4, Bibb County, Georgia",7000000US13021000GF4,3658.0,212.0,573.0,2736.0,11.0,105.0,21.0,0.057955166757791145,0.15664297430289775,0.747949699289229,0.0030071077091306723,0.028704209950792783,0.005740841990158557
99,"GODFREY 5, Bibb County, Georgia",7000000US13021000GF5,7233.0,396.0,667.0,5910.0,33.0,176.0,51.0,0.054749066777270844,0.0922162311627264,0.8170883450850269,0.004562422231439237,0.02433291856767593,0.007051016175860639
100,"HAZZARD 1, Bibb County, Georgia",7000000US13021000HA1,5303.0,538.0,581.0,4009.0,46.0,103.0,26.0,0.10145200829719027,0.10956062606072035,0.7559871770695833,0.008674335281915897,0.019422968131246464,0.004902885159343767
